"count";"taxontreedefid";"rank_";"taxon_full_name"
1;13;genus;Adoxaceae
1;13;genus;Adromischus
1;13;genus;Aechmea
1;13;genus;Aecidium
1;13;genus;Aegialitis
1;13;genus;Aegilops
1;13;genus;Aeginetia
1;13;genus;Aegiphila
1;13;genus;Aegopodium
1;13;genus;Aegopogon
1;13;genus;Aellen
1;13;genus;Aeollanthus
1;13;genus;Aeonium
1;13;genus;Aequatorium
1;13;genus;Aerangis
1;13;genus;Aerides
1;13;genus;Aerva
1;13;genus;Aeschynanthes
1;13;genus;Aeschynanthus
1;13;genus;Aeschynenthus
1;13;genus;Aeschynomene
1;13;genus;Aesculus
1;13;genus;Aetanthus
1;13;genus;Aetheolaena
1;13;genus;Aethionema
1;13;genus;Aethusa
1;13;genus;Afgekia
1;13;genus;Aframomum
1;13;genus;Afrocalathea
1;13;genus;Afrolicania
1;13;genus;Afrormosia
1;13;genus;Afrostyrax
1;13;genus;Afzelia
1;13;genus;Agalia
1;13;genus;Agalinis
1;13;genus;Aganonerion
1;13;genus;Aganope
1;13;genus;Aganosma
1;13;genus;Agapanthus
1;13;genus;Agapetes
1;13;genus;Agaricaceae
1;13;genus;Agarista
1;13;genus;Agathis
1;13;genus;Agathosma
1;13;genus;Agave
1;13;genus;Agelaea
1;13;genus;Ageratina
1;13;genus;Ageratum
1;13;genus;Ageria
1;13;genus;Aglaeonema
1;13;genus;Aglaia
1;13;genus;Aglaomorpha
1;13;genus;Aglaonema
1;13;genus;Agleia
1;13;genus;Agonandra
1;13;genus;Agoseris
1;13;genus;Agouticarpa
1;13;genus;Agrimonia
1;13;genus;Agropyron
1;13;genus;Agrostemma
1;13;genus;Agrostis
1;13;genus;Agrostistachys
1;13;genus;Agrostophyllum
1;13;genus;Aichryson
1;13;genus;Aidia
1;13;genus;Ainsliaea
1;13;genus;Aiphanes
1;13;genus;Aira
1;13;genus;Airyantha
1;13;genus;Aizooideae
1;13;genus;Ajuga
1;13;genus;Akania
1;13;genus;Akaniaceae
1;13;genus;Akebia
1;13;genus;Akschindlium
1;13;genus;Al-Shehbaz, O'Kane & R.A.Price
1;13;genus;Alafia
1;13;genus;Alangium
1;13;genus;Alansmia
1;13;genus;Albertisia
1;13;genus;Albizia
1;13;genus;Albuca
1;13;genus;Alcea
1;13;genus;Alchemilla
1;13;genus;Alchornea
1;13;genus;Alectoria
1;13;genus;Alectra
1;13;genus;Aleisanthia
1;13;genus;Aleisanthiopsis
1;13;genus;Aletris
1;13;genus;Aleuria
1;13;genus;Aleurites
1;13;genus;Aleuritopteris
1;13;genus;Alextoria
1;13;genus;Alhagi
1;13;genus;Ali
1;13;genus;Alibertia
1;13;genus;Alicia
1;13;genus;Alisma
1;13;genus;Alkanna
1;13;genus;Allagoptera
1;13;genus;Allamanda
1;13;genus;Allan
